id,name,genre,genre_number
694,インシード,レディース,1
695,インソムニア,レディース,1
696,インターショシュール,レディース,1
697,インターステイプル,レディース,1
698,インターナショナルギャラリー ビームス,レディース,1
699,インターフェイス,レディース,1
700,インタープラネット,レディース,1
701,インタープラネットウィング,レディース,1
702,インダー,レディース,1
703,インダストリアルカテゴリー,レディース,1
704,インティメイトダイアリー,レディース,1
705,インテレクション,レディース,1
706,インディアン,レディース,1
707,インディアンジュエリー,レディース,1
708,インディヴィ,レディース,1
709,インディヴィジュアライズドシャツ,レディース,1
710,インディオ,レディース,1
711,インディゴハンド,レディース,1
712,インディビジュアル,レディース,1
713,インディペンデント ガール,レディース,1
714,インディスペンサブル,レディース,1
715,インデックス,レディース,1
716,インデュナ,レディース,1
717,インナープレス,レディース,1
718,インハビタント,レディース,1
719,インバーアラン,レディース,1
720,インパクティス ケリー,レディース,1
721,インパラ,レディース,1
722,インビクタ,レディース,1
723,インフェクトカラーズ,レディース,1
724,インフォメーション,レディース,1
725,インフルエンス,レディース,1
726,インプローブス,レディース,1
727,インヘリット,レディース,1
728,インホームアウト,レディース,1
729,インメルカート,レディース,1
730,イヴサンローランリヴゴーシュ,レディース,1
731,ヴァーガス,レディース,1
732,ヴァージニア,レディース,1
733,ヴァーチュアンドヴァイス,レディース,1
734,ヴァイヴィア,レディース,1
735,ヴァイオレットバッファローワローズ,レディース,1
736,ヴァイナル,レディース,1
737,ヴァシリエヴァ,レディース,1
738,ヴァニッシングエレファント,レディース,1
739,ヴァニラコンフュージョン,レディース,1
740,ヴァネッサ・ブリューノ,レディース,1
741,ヴァベーネ,レディース,1
742,ヴァベローグ,レディース,1
743,ヴァランティーヌゴーチェ,レディース,1
744,ヴァルヴィートエイティーワン,レディース,1
745,ヴァルクーレ,レディース,1
746,ヴァレクストラ,レディース,1
747,ヴァレンティーン,レディース,1
748,ヴァレンティノ,レディース,1
749,ヴァレンティノガラヴァーニ,レディース,1
750,ヴァンクリーフ＆アーペル,レディース,1
